artigoEmPeriodico	Raquel Aparecida de Freitas Mini	2017	1548-0992	http://dx.doi.org/10.1109/tla.2017.8071091	Geo-Oriented Protocol: Retransmissions and Hops Analysis	IEEE Latin America Transactions	SILVA, LUIZ H. C. ; Mini, Raquel A. F. ; Maia, Guilherme ; CUNHA, FELIPE D.	Qualis nao identificado	IEEE Latin America Transactions
artigoEmPeriodico	Raquel Aparecida de Freitas Mini	2016	1570-8705	http://dx.doi.org/10.1016/j.adhoc.2016.02.017	Data Communication in VANETs: Survey, Applications and Challenges	Ad Hoc Networks	CUNHA, FELIPE ; VILLAS, LEANDRO ; BOUKERCHE, Azzedine ; MAIA, Guilherme ; VIANA, Aline ; Mini, Raquel A.F. ; Loureiro, Antonio A.F.	B1	
artigoEmPeriodico	Raquel Aparecida de Freitas Mini	2015	0743-7315	http://dx.doi.org/10.1016/j.jpdc.2014.10.007	An Enhanced Location-Free Greedy Forward Algorithm with Hole Bypass Capability in Wireless Sensor Networks	Journal of Parallel and Distributed Computing (Print)	OLIVEIRA, Horacio Antonio Braga Fernandes de ; BOUKERCHE, Azzedine ; GUIDONI, Daniel Ludovico ; NAKAMURA, E. F. ; Mini, Raquel A.F. ; Loureiro, Antonio A.F.	B1	Distributed Computing
artigoEmPeriodico	Raquel Aparecida de Freitas Mini	2015	1424-8220	http://dx.doi.org/10.3390/s150306607	Sensing in the Collaborative Internet of Things	Sensors (Basel)	BORGES NETO, J. ; SILVA, T. H. ; ASSUNCAO, R. M. ; MINI, R.A.F. ; LOUREIRO, A. A. F.	A2	
artigoEmPeriodico	Raquel Aparecida de Freitas Mini	2014	0018-9340	http://dx.doi.org/10.1109/TC.2012.229	MuSA: Multivariate Sampling Algorithmfor Wireless Sensor Networks	IEEE Transactions on Computers (Print)	AQUINO, ANDRE L.L. ; JUNIOR, ORLANDO S. ; FRERY, ALEJANDRO C. ; DE ALBUQUERQUE, EDLER LINS ; Mini, Raquel A.F.	A1	
artigoEmPeriodico	Raquel Aparecida de Freitas Mini	2014	2236-8434	http://dx.doi.org/10.4013/jacr.2014.41.04	A hybrid sender and receiver-based routing protocol for Wireless Sensor Networks	Journal of Applied Computing Research	NOVY, G. F. C. ; FIGUEIREDO, F. L. P. D. ; MINI, R.A.F.	B5	
artigoEmPeriodico	Raquel Aparecida de Freitas Mini	2013	1570-8705	http://dx.doi.org/10.1016/j.adhoc.2013.01.004	A distributed data storage protocol for heterogeneous wireless sensor networks with mobile sinks	Ad Hoc Networks	MAIA, Guilherme ; Guidoni, Daniel L. ; VIANA, ALINE C. ; AQUINO, ANDRE L.L. ; Mini, Raquel A.F. ; Loureiro, Antonio A.F.	B1	
artigoEmPeriodico	Raquel Aparecida de Freitas Mini	2012	1089-7798		Applying the Small World Concepts in the Design of Heterogeneous Wireless Sensor Networks	IEEE Communications Letters (Print)	GUIDONI, Daniel Ludovico ; MINI, Raquel Aparecida de Freitas ; LOUREIRO, Antonio Alfredo Ferreira	A1	
artigoEmPeriodico	Raquel Aparecida de Freitas Mini	2012	0140-3664	http://dx.doi.org/10.1016/j.comcom.2012.05.009	Energy-efficient design of wireless sensor networks based on finite energy budget	Computer Communications	Mini, Raquel A.F.; Loureiro, Antonio A.F.	A2	
artigoEmPeriodico	Raquel Aparecida de Freitas Mini	2010	1389-1286	http://dx.doi.org/10.1016/j.comnet.2009.10.021	On the design of resilient heterogeneous wireless sensor networks based on small world concepts. Computer Networks	Computer Networks (1999)	GUIDONI, Daniel Ludovico ; MINI, Raquel Aparecida de Freitas ; LOUREIRO, Antonio Alfredo Ferreira	A1	
artigoEmPeriodico	Raquel Aparecida de Freitas Mini	2010	1983-4217		Comunicação de Dados baseada no Receptor para Redes de Sensores Sem Fio	Revista Brasileira de Redes de Computadores e Sistemas Distribuídos	MACHADO, Max Do Val ; MINI, Raquel Aparecida de Freitas ; LOUREIRO, Antonio Alfredo Ferreira	B4	
artigoEmPeriodico	Raquel Aparecida de Freitas Mini	2005	0163-6804		Data Dissemination based on the Energy Map	IEEE Communications Magazine (Print)	GOUSSEVSKAIA, Olga ; MACHADO, Max Do Val ; MINI, Raquel Aparecida de Freitas ; LOUREIRO, Antonio Alfredo Ferreira ; MATEUS, Geraldo Robson ; NOGUEIRA, José Marcos Silva	A1	
artigoEmPeriodico	Raquel Aparecida de Freitas Mini	2005	1570-8705		Prediction-based Energy Map for Wireless Sensor Networks	Ad Hoc Networks	MINI, Raquel Aparecida de Freitas; MACHADO, Max Do Val ; LOUREIRO, Antonio Alfredo Ferreira ; NATH, Badri	B1	
artigoEmPeriodico	Raquel Aparecida de Freitas Mini	2005	0733-8716	http://dx.doi.org/10.1109/jsac.2005.857209	Data dissemination in autonomic wireless sensor networks	IEEE Journal on Selected Areas in Communications (Print)	MACHADO, MD.V. ; MATEUS, G.R. ; REZENDE, C.G. ; LOUREIRO, A.A.F. ; MINI, R.A.F. ; NOGUEIRA, J.M.S. ; GOUSSEVSKAIA, O.	A1	
artigoEmPeriodico	Raquel Aparecida de Freitas Mini	2004	0140-3664		The Distinctive Design Characteristics of a Wireless Sensor Network: The Energy Map	Computer Communications	MINI, Raquel Aparecida de Freitas; LOUREIRO, Antonio Alfredo Ferreira ; NATH, Badri	A2	
trabalhoCompletoEmCongresso	Raquel Aparecida de Freitas Mini	2017		ST-Drop: Uma Nova Estratégia de Gerenciamento de Buffer em Redes D2D Oportunistas	Simpósio Brasileiro de Redes de Computadores e Sistemas Distribuídos	SILVA, M. D. ; NUNES, I. O. ; MINI, R.A.F. ; LOUREIRO, A. A. F.	B2	
trabalhoCompletoEmCongresso	Raquel Aparecida de Freitas Mini	2017		Um Protocolo de Disseminação de Dados Geo-Orientado em Redes Veiculares	I WORKSHOP DE COMPUTAÇÃO URBANA (CoUrb)	SILVA, L. H. C. ; MINI, R.A.F. ; CUNHA, F. D.	Qualis nao identificado	I WORKSHOP DE COMPUTAÇÃO URBANA (CoUrb)
trabalhoCompletoEmCongresso	Raquel Aparecida de Freitas Mini	2017		ST-Drop: A Novel Buffer Management Strategy for D2D Opportunistic Networks	22nd IEEE Symposium on Computers and Communication (ISCC 2017)	SILVA, M. D. ; NUNES, I. O. ; MINI, R.A.F. ; LOUREIRO, A. A. F.	A2	ISCC
trabalhoCompletoEmCongresso	Raquel Aparecida de Freitas Mini	2016		Communication Analysis of Real Vehicular Calibrated Traces	IEEE International Conference on Communications (ICC)	CUNHA, F. D. ; SILVA, F. A. ; CELES, C. S. F. S. ; MENEZES, J. G. M. ; RUIZ, Linnyer B ; ANDRADE, R. M. C. ; MINI, R.A.F. ; BOUKERCHE, Azzedine ; LOUREIRO, A. A. F.	A2	IEEE International Conference on Communications
trabalhoCompletoEmCongresso	Raquel Aparecida de Freitas Mini	2016		Classificando Comportamentos Sociais em Redes Veiculares	Simpósio Brasileiro de Redes de Computadores e Sistemas Distribuídos	ALVARENGA, D. A. ; CUNHA, F. D. ; MINI, R.A.F. ; LOUREIRO, A. A. F. ; VIANA, A. C.	B2	
trabalhoCompletoEmCongresso	Raquel Aparecida de Freitas Mini	2016		Internet das Coisas Aplicada nas Redes Elétricas Inteligentes Brasileiras	Simpósio Brasileiro de Computação Ubíqua e Pervasiva	LOUSADA, E. E. O. ; MINI, R.A.F.	B5	
trabalhoCompletoEmCongresso	Raquel Aparecida de Freitas Mini	2016		Controle de Consumo de Água Baseado em Reconhecimento Facial	Simpósio Brasileiro de Computação Ubíqua e Pervasiva	RIVERO, I. A. S. ; SANTOS, P. ; SILVA, R. ; JUNIOR, D. ; MINI, R.A.F.	B5	
trabalhoCompletoEmCongresso	Raquel Aparecida de Freitas Mini	2016		Proposta de Solução para Aplicação de Internet das Coisas nas Redes Elétricas Inteligentes Brasileiras Considerando as Limitações das Normas Vigentes	Seminário Integrado de Software e Hardware	LOUSADA, E. E. O. ; MINI, R.A.F.	B4	
trabalhoCompletoEmCongresso	Raquel Aparecida de Freitas Mini	2016		Exploring Interactions in Vehicular Networks	The 14th ACM International Symposium on Mobility Management and Wireless Access (MOBIWAC)	CUNHA, F. D. ; ALVARENGA, D. A. ; MENEZES, J. G. M. ; VIANA, A. C. ; MINI, R.A.F. ; LOUREIRO, A. A. F.	Qualis nao identificado	The 14th ACM International Symposium on Mobility Management and Wireless Access (MOBIWAC)
trabalhoCompletoEmCongresso	Raquel Aparecida de Freitas Mini	2015		Hybrid Policy to Determine Awaking Sensor Nodes	IEEE International Conference on Communications (ICC)	MACHADO, Max Do Val ; MINI, R.A.F. ; LOUREIRO, A.A.F.	A2	IEEE International Conference on Communications
trabalhoCompletoEmCongresso	Raquel Aparecida de Freitas Mini	2015		Difusão de Dados em Redes de Sensores Sem Fio com Ciclo de Trabalho Reduzido	Simpósio Brasileiro de Redes de Computadores e Sistemas Distribuídos	MACHADO, Max Do Val ; MINI, R.A.F. ; LOUREIRO, A. A. F.	B2	
trabalhoCompletoEmCongresso	Raquel Aparecida de Freitas Mini	2015		Intelligent Service to Perform Overtaking in Vehicular Networks	IEEE Symposium on Computers and Communication (ISCC)	FERREIRA, B. ; CUNHA, F. D. ; MINI, R.A.F. ; LOUREIRO, A. A. F. ; BRAZ, F. A. F. ; CAMPOS, S. V. A.	A2	IEEE Symposium on Computers and Communications
trabalhoCompletoEmCongresso	Raquel Aparecida de Freitas Mini	2015		Understanding Interactions in Vehicular Networks Through Taxi Mobility	12th ACM International Symposium on Performance Evaluation of Wireless Ad Hoc	CUNHA, F. D. ; ALVARENGA, D. A. ; VIANA, Aline C. ; Mini, Raquel A. F. ; LOUREIRO, A. A. F.	Qualis nao identificado	12th ACM International Symposium on Performance Evaluation of Wireless Ad Hoc
trabalhoCompletoEmCongresso	Raquel Aparecida de Freitas Mini	2015		Um Sistema Inteligente Para Uso no Controle de Presença Acadêmico	Simpósio Brasileiro de Automação Inteligente	CHAMON, J. P. ; SOUZA, T. ; ROSA, A. ; MINI, R.A.F.	B4	
trabalhoCompletoEmCongresso	Raquel Aparecida de Freitas Mini	2014		Is it Possible to Find Social Properties in Vehicular Networks?	19th IEEE Symposium on Computers and Communications (ISCC)	CUNHA, Felipe Domingos da ; VIANA, Aline C. ; Mini, Raquel A. F. ; LOUREIRO, Antonio Alfredo Ferreira	A2	IEEE Symposium on Computers and Communications
