ISSN,Título,Estrato,Classificação
1528-7106,AACE INTERNATIONAL TRANSACTIONS,C ,Atualizado
0094-6354,A.A.N.A. JOURNAL,B5,Atualizado
2212-6716,AASRI PROCEDIA,C ,Atualizado
2316-9451,ABAKÓS,B5,Atualizado
2316-9451,ABAKÓS,B5,Atualizado
0102-6720,ABCD : ARQUIVOS BRASILEIROS DE CIRURGIA DIGESTIVA,B5,Atualizado
2165-6282,ACADEMIC JOURNAL OF SCIENCE,C ,Atualizado
1519-7859,AÇÃO ERGONÔMICA,B5,Atualizado
0949-1775,ACCREDITATION AND QUALITY ASSURANCE,B3,Atualizado
1525-9293,ACIS INTERNATIONAL JOURNAL OF COMPUTER AND INFORMATION SCIENCE,C ,Atualizado
1559-6915,ACM APPLIED COMPUTING REVIEW,B5,Atualizado
1932-2232,ACM COMMUNICATIONS IN COMPUTER ALGEBRA,B2,Atualizado
0360-0300,ACM COMPUTING SURVEYS,A1,Atualizado
1084-6654,ACM JOURNAL OF EXPERIMENTAL ALGORITHMICS,B1,Atualizado
1550-4832,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,B1,Atualizado
1559-1662,ACM SIGMOBILE MOBILE COMPUTING AND COMMUNICATIONS REVIEW,C ,Atualizado
1936-7228,ACM TRANSACTIONS ON ACCESSIBLE COMPUTING (TACCESS),B1,Atualizado
1549-6325,ACM TRANSACTIONS ON ALGORITHMS,B1,Atualizado
1544-3566,ACM TRANSACTIONS ON ARCHITECTURE AND CODE OPTIMIZATION,B1,Atualizado
1556-4665,ACM TRANSACTIONS ON AUTONOMOUS AND ADAPTIVE SYSTEMS,B1,Atualizado
0734-2071,ACM TRANSACTIONS ON COMPUTER SYSTEMS,A2,Atualizado
1073-0516,ACM TRANSACTIONS ON COMPUTER-HUMAN INTERACTION,A2,Atualizado
2378-962X,ACM TRANSACTIONS ON CYBER-PHYSICAL SYSTEMS,B5,Atualizado
0362-5915,ACM TRANSACTIONS ON DATABASE SYSTEMS,A2,Atualizado
1084-4309,ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS,B1,Atualizado
1539-9087,ACM TRANSACTIONS ON EMBEDDED COMPUTING SYSTEMS,B1,Atualizado
0730-0301,ACM TRANSACTIONS ON GRAPHICS,A1,Atualizado
2157-6904,ACM TRANSACTIONS ON INTELLIGENT SYSTEMS AND TECHNOLOGY,A2,Atualizado
1533-5399,ACM TRANSACTIONS ON INTERNET TECHNOLOGY,B1,Atualizado
1556-4681,ACM TRANSACTIONS ON KNOWLEDGE DISCOVERY FROM DATA,B1,Atualizado
0098-3500,ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE,A1,Atualizado
1049-3301,ACM TRANSACTIONS ON MODELING AND COMPUTER SIMULATION,B1,Atualizado
1551-6857,ACM TRANSACTIONS ON MULTIMEDIA COMPUTING COMMUNICATIONS AND APPLICATIONS,B1,Atualizado
2329-4949,ACM TRANSACTIONS ON PARALLEL COMPUTING,B5,Atualizado
0164-0925,ACM TRANSACTIONS ON PROGRAMMING LANGUAGES AND SYSTEMS,A2,Atualizado
1936-7406,ACM TRANSACTIONS ON RECONFIGURABLE TECHNOLOGY AND SYSTEMS,B1,Atualizado
1550-4859,ACM TRANSACTIONS ON SENSOR NETWORKS,B1,Atualizado
