artigoEmPeriodico	 	2017	1648-5831	http://dx.doi.org/10.15388/infedu.2017.12	Automatic content recommendation and aggregation according to SCORM	INFORMATICS IN EDUCATION	NEVES, Daniel Eugênio ; BRANDÃO, Wladmir Cardoso ; ISHITANI, Lucila	B3	Informatics in Education
artigoEmPeriodico	 	2016	1414-5685	http://dx.doi.org/10.5753/rbie.2016.24.1.11	Metodologia para recomendação e agregação de objetos de aprendizagem no padrão SCORM	Revista Brasileira de Informática na Educação	NEVES, Daniel Eugênio ; BRANDÃO, Wladmir Cardoso ; ISHITANI, Lucila	B3	
artigoEmPeriodico	 	2014	0163-5840	http://dx.doi.org/10.1145/2641383.2641393	Exploiting entities for query expansion	ACM SIGIR Forum	BRANDÃO, Wladmir Cardoso	Qualis nao identificado	ACM SIGIR Forum
artigoEmPeriodico	 	2014	1532-2890		Learning to expand queries using entities	Journal of The American Society For Information Science and Technology (Online)	BRANDÃO, Wladmir Cardoso; SANTOS, Rodrygo Luis Teodoro ; ZIVIANI, Nivio ; DE MOURA, Edleno Silva ; DA SILVA, Altigran Soares	A1	
artigoEmPeriodico	 	2010	1573-7659	http://dx.doi.org/10.1007/s10791-009-9119-7	Classifying documents with link-based bibliometric measures	Information Retrieval (Dordrecht. Online)	COUTO, Thierson ; ZIVIANI, Nivio ; CALADO, Pável Pereira ; DE CRISTO, Marco Antônio Pinheiro ; GONÇALVES, Marcos André ; DE MOURA, Edleno Silva ; BRANDÃO, W.	B1	
artigoEmPeriodico	 	2008	1751-8601	http://dx.doi.org/10.1049/iet-cdt:20060233	Decision heuristic for Davis Putnam, Loveland and Logemann algorithm satisfiability solving based on cube subtraction	IET Computers and Digital Techniques	ZUIM, R. L.; J. T. Sousa ; Claudionor N. C. J.	Qualis nao identificado	IET Computers and Digital Techniques
artigoEmPeriodico	 	2007	1981-8920	http://dx.doi.org/10.5433/1981-8920.2007v12n1espp110	Redes em Ciência da Informação: evidências comportamentais dos pesquisadores e tendências evolutivas das redes de coautoria.	Informação & Informação (UEL. Online)	BRANDÃO, Wladmir Cardoso; PARREIRAS, Fernando Silva ; SILVA, Antonio Braz de Oliveira e	C	
artigoEmPeriodico	 	2006	1413-9936	http://dx.doi.org/10.1590/S1413-99362006000300002	RedeCI: colaboração e produção científica em ciência da informação no Brasil	Perspectivas em Ciência da Informação (Impresso)	PARREIRAS, Fernando Silva ; SILVA, Antonio Braz de Oliveira e ; MATHEUS, Renato Fabiano ; BRANDÃO, Wladmir Cardoso	C	
artigoEmPeriodico	 	2005	1516-697X		Impactos e desafios na implementação de uma infra-estrutura de software livre nas organizações: estudo de caso de uma empresa do setor siderúrgico	IP (Belo Horizonte)	BRANDÃO, Wladmir Cardoso; SILVA, Antonio Braz de Oliveira e ; PARREIRAS, Fernando Silva	B5	
artigoEmPeriodico	 	2005	1517-3801		Proposta para um esquema de classificação das fontes de informação para negócio	Datagramazero (Rio de Janeiro)	SILVA, Antonio Braz de Oliveira e ; CAMPOS, Marcus José de Oliveira ; BRANDÃO, Wladmir Cardoso	C	
artigoEmPeriodico	 	2004	1413-9936		Monitoração ambiental em contextos dinâmicos: busca e uso de informação por gerentes bancários	Perspectivas em Ciência da Informação (Impresso)	BASTOS, Jaime Sadao Yamassaki ; SILVA, Antonio Braz de Oliveira e ; PARREIRAS, Fernando Silva ; BRANDÃO, Wladmir Cardoso	C	
artigoEmPeriodico	 	2004	1413-9936		A internet como fonte de informações para negócio: um ensaio sobre a realidade da internet brasileira	Perspectivas em Ciência da Informação (Impresso)	BRANDÃO, Wladmir Cardoso	C	
artigoEmPeriodico	 	2004	1809-4783		O uso de portais departamentais na gestão dos processos de desenvolvimento de software: o caso da Unisys do Brasil	Informação & Sociedade (UFPB. Online)	BRANDÃO, Wladmir Cardoso; PARREIRAS, Fernando Silva	Qualis nao identificado	Informação & Sociedade (UFPB. Online)
artigoEmPeriodico	 	2000	0104-4397		O que é dimensão fractal	Extensão (PUCMG)	ZUIM, R. L	Qualis nao identificado	Extensão (PUCMG)
trabalhoCompletoEmCongresso	 	2018	http://dx.doi.org/10.1007/978-3-319-93375-7_3	Exploiting LinkedIn to predict employee resignation likelihood	ACM Symposium on Applied Computing (SAC)	DE JESUS, Ana Carolina Conceição ; DUTRA JUNIOR, Márcio Enio Gonçalves ; BRANDÃO, Wladmir Cardoso	A1	ACM Symposium on Applied Computing
trabalhoCompletoEmCongresso	 	2018		Filtering graduate courses based on LinkedIn profiles	Brazilian Symposium on Multimedia and the Web (WEBMEDIA)	LESSA, Leandro Figueira ; BRANDÃO, Wladmir Cardoso	B3	Brazilian Symposium on Multimedia and the Web
trabalhoCompletoEmCongresso	 	2018		SSV: an interactive visualization approach for social media stock-related content analysis	International Conference on Enterprise Information Systems (ICEIS)	LODUR, Felipe ; BRANDÃO, Wladmir Cardoso	B1	International Conference on Enterprise Information Systems
trabalhoCompletoEmCongresso	 	2018		Recommending scientific collaboration from ResearchGate	Brazilian Conference on Intelligent Systems (BRACIS)	RODRIGUES, Marcos Wander ; BRANDÃO, Wladmir Cardoso ; ZARATE, Luis Enrique	Qualis nao identificado	Brazilian Conference on Intelligent Systems (BRACIS)
trabalhoCompletoEmCongresso	 	2018		Predicting the success of NFL teams using complex network analysis	International Conference on Enterprise Information Systems (ICEIS)	SALIM, Matheus de Oliveira ; BRANDÃO, Wladmir Cardoso	B1	International Conference on Enterprise Information Systems
trabalhoCompletoEmCongresso	 	2018		A neural question answering system for supporting software engineering students	Latin American Conference on Learning Technologies (LACLO)	SOARES, Marco Antônio Calijorne ; BRANDÃO, Wladmir Cardoso ; PARREIRAS, Fernando Silva	B5	LACLO
trabalhoCompletoEmCongresso	 	2017		Characterizing crimes from Web	Brazilian Workshop on Social Network Analysis and Mining (BraSNAM)	DA SILVEIRA, Márcio Vinícius Campos ; BRANDÃO, Wladmir Cardoso	Qualis nao identificado	Brazilian Workshop on Social Network Analysis and Mining (BraSNAM)
trabalhoCompletoEmCongresso	 	2017		Formal concept analysis applied to professional social networks analysis	International Conference on Enterprise Information Systems (ICEIS)	SILVA, Paula Raissa Costa e ; DIAS, Sérgio Mariano ; BRANDÃO, Wladmir Cardoso ; SONG, Mark Alan Junho ; ZARATE, Luis Enrique	B1	International Conference on Enterprise Information Systems
trabalhoCompletoEmCongresso	 	2016		Utilizando entidades na criação de descritores para avaliar a qualidade de recomendações de novos itens no problema de Cold-Start	Simpósio Mineiro de Sistemas de Informação (SMSI)	DE PAULA, Andrey Leonardo ; BRANDÃO, Wladmir Cardoso ; GOMES, Rodrigo Richard	Qualis nao identificado	Simpósio Mineiro de Sistemas de Informação (SMSI)
trabalhoCompletoEmCongresso	 	2016		Abordagem para descoberta de conhecimento em instrumentos avaliativos de organizações de ensino superior	Simpósio Mineiro de Sistemas de Informação (SMSI)	LESSA, Leandro Figueira ; BRANDÃO, Wladmir Cardoso	Qualis nao identificado	Simpósio Mineiro de Sistemas de Informação (SMSI)
trabalhoCompletoEmCongresso	 	2016		Automatic formal specification generation of APIs by mining unit tests	ACM Symposium on Applied Computing (SAC)	PEREIRA-JUNIOR, Otmar Martins ; BRANDÃO, Wladmir Cardoso ; SONG, Mark Alan Junho	A1	ACM Symposium on Applied Computing
trabalhoCompletoEmCongresso	 	2016		ConnectCity: a collaborative e-government approach to report city incidents	IADIS International Conference on WWW/INTERNET (ICWI)	PISTOLATO, Amanda Carolina ; BRANDÃO, Wladmir Cardoso	B2	ICWI
trabalhoCompletoEmCongresso	 	2016		Análise de redes sociais profissionais por meio de análise formal de conceitos	Symposium on Knowledge Discovery	SILVA, Paula Raissa Costa e ; BRANDÃO, Wladmir Cardoso ; ZARATE, Luis Enrique	Qualis nao identificado	Symposium on Knowledge Discovery
trabalhoCompletoEmCongresso	 	2016		Análise comparativa de abordagens para análise de sentimento utilizando tweets em língua portuguesa	Simpósio Mineiro de Sistemas de Informação (SMSI)	SOUZA, Caio Henrique Prado ; BRANDÃO, Wladmir Cardoso	Qualis nao identificado	Simpósio Mineiro de Sistemas de Informação (SMSI)
